Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776464256,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776464257,50,,Aggregated,0.000000,0.000000,15,20,22,23,26,34,39,40,50,50,50,366,0,15,15.881783792348827,0.6936859999768785,50.16703999990568,45.442622950819676
1776464258,100,,Aggregated,0.000000,0.000000,16,20,21,23,25,28,35,38,41,50,50,1099,0,16,15.627059123748028,0.6412200000340817,50.16703999990568,46.313011828935394
1776464259,150,,Aggregated,141.000000,0.000000,16,20,21,23,25,26,32,35,41,50,50,2172,0,16,15.490624866482625,0.6412200000340817,50.16703999990568,46.56721915285451
1776464260,200,,Aggregated,320.500000,0.000000,16,20,22,23,25,26,33,37,50,52,52,3602,0,16,15.676780011382023,0.6372720000626941,51.78018499998416,46.641865630205444
1776464261,250,,Aggregated,496.333333,0.000000,16,20,22,23,26,31,41,110,140,160,160,5307,0,16,17.300558056151758,0.6353390000413128,156.5143599999601,46.78047861315244
1776464262,300,,Aggregated,672.250000,0.000000,17,21,24,25,32,45,62,78,130,160,160,7361,0,17,19.227281310555323,0.6353390000413128,156.5143599999601,46.769732373318845
1776464263,350,,Aggregated,833.600000,0.000000,19,24,26,32,52,68,86,100,150,170,170,9497,0,19,24.17524175118452,0.6084890000011001,167.31197199999315,46.893124144466675
1776464264,400,,Aggregated,1004.166667,0.000000,21,26,37,46,70,91,130,150,200,260,260,11629,0,21,30.75551421884955,0.6084890000011001,264.74804600002244,46.81468741938258
1776464265,450,,Aggregated,1148.142857,0.000000,23,35,49,61,90,120,160,170,200,260,260,13925,0,23,37.58288570642761,0.6084890000011001,264.74804600002244,46.89407540394973
1776464266,500,,Aggregated,1266.625000,0.000000,25,44,61,74,110,140,160,170,190,260,260,16345,0,25,43.47510688296154,0.6084890000011001,264.74804600002244,46.82716427041909
1776464267,500,,Aggregated,1368.000000,0.000000,28,50,71,84,120,150,170,180,190,260,260,18833,0,28,47.71689803265568,0.6084890000011001,264.74804600002244,46.817607391281264
1776464268,500,,Aggregated,1465.700000,0.000000,32,56,78,90,130,150,170,180,190,260,260,21231,0,32,51.050814185719354,0.6084890000011001,264.74804600002244,46.840092317837126
1776464269,500,,Aggregated,1697.600000,0.000000,36,63,85,96,130,150,170,180,190,260,260,23763,0,36,54.25099474897969,0.6084890000011001,264.74804600002244,46.91436266464672
1776464270,500,,Aggregated,1893.100000,0.000000,39,68,88,99,130,150,170,180,190,260,260,26147,0,39,56.36871174746671,0.6084890000011001,264.74804600002244,46.91337438329445
1776464271,500,,Aggregated,2049.500000,0.000000,41,72,91,100,140,160,170,180,220,270,270,28666,0,41,58.49238835676447,0.6084890000011001,268.6282070000061,46.91209097885997
1776464272,500,,Aggregated,2180.900000,0.000000,44,76,94,110,140,160,170,180,220,280,290,30990,0,44,60.37272571913559,0.6084890000011001,286.59844200001316,46.88867376573088
1776464273,500,,Aggregated,2274.200000,0.000000,46,79,96,110,140,160,170,180,220,280,290,33469,0,46,61.71999822041356,0.6084890000011001,286.59844200001316,46.92814246018704
1776464274,500,,Aggregated,2331.800000,0.000000,47,81,97,110,140,160,170,180,220,280,290,35830,0,47,62.83565041222509,0.6084890000011001,286.59844200001316,46.91766675969858
1776464275,500,,Aggregated,2366.300000,0.000000,49,83,99,110,140,160,180,180,220,280,290,38317,0,49,64.18692079575669,0.6084890000011001,286.59844200001316,46.92522901062192
1776464276,500,,Aggregated,2405.700000,0.000000,51,86,100,110,140,160,180,180,220,270,290,40698,0,51,65.50487556879965,0.6084890000011001,286.59844200001316,46.956754631677235
1776464277,500,,Aggregated,2424.300000,0.000000,52,87,100,120,140,160,180,180,220,270,290,43099,0,52,66.57237097257497,0.6084890000011001,286.59844200001316,46.926796445393165
1776464278,500,,Aggregated,2442.100000,0.000000,53,88,100,120,140,160,180,180,220,270,290,45567,0,53,67.02038612653931,0.6084890000011001,286.59844200001316,46.919568986327825
1776464279,500,,Aggregated,2431.500000,0.000000,54,88,100,120,140,160,180,180,220,270,290,48006,0,54,67.66209491863543,0.6084890000011001,286.59844200001316,46.92355122276382
1776464280,500,,Aggregated,2422.800000,0.000000,55,89,100,120,150,160,180,180,240,280,290,50379,0,55,68.45671713461986,0.6084890000011001,286.59844200001316,46.91851763631672
1776464281,500,,Aggregated,2427.300000,0.000000,56,90,110,120,150,170,180,190,260,290,400,52521,0,56,69.23806895135318,0.6084890000011001,395.4348160000336,46.91346318615411
1776464282,500,,Aggregated,2421.900000,0.000000,58,91,110,120,150,170,180,220,310,390,400,54670,0,58,71.14945445624701,0.6084890000011001,395.4348160000336,46.90122553502835
1776464283,500,,Aggregated,2425.100000,0.000000,59,91,110,120,150,170,190,230,310,390,400,57123,0,59,71.80549011610096,0.6084890000011001,395.4348160000336,46.89960261190764
1776464284,500,,Aggregated,2379.900000,0.000000,60,92,110,120,150,170,190,220,310,390,400,59517,0,60,72.31444582628521,0.6084890000011001,395.4348160000336,46.905657207184504
1776464285,500,,Aggregated,2377.200000,0.000000,60,93,110,120,150,170,190,220,310,390,400,61937,0,60,72.65869032436241,0.6084890000011001,395.4348160000336,46.89642701454704
1776464286,500,,Aggregated,2361.500000,0.000000,61,93,110,120,150,170,190,220,310,390,400,64420,0,61,72.85161407353338,0.6084890000011001,395.4348160000336,46.91151816206147
1776464287,500,,Aggregated,2368.400000,0.000000,62,93,110,120,150,170,190,210,300,390,400,66817,0,62,73.15993172331949,0.6084890000011001,395.4348160000336,46.90548812427975
1776464288,500,,Aggregated,2359.200000,0.000000,62,93,110,120,150,170,190,210,300,390,400,69208,0,62,73.30729472159325,0.6084890000011001,395.4348160000336,46.895098832504914
1776464289,500,,Aggregated,2368.000000,0.000000,63,94,110,120,150,170,190,210,300,380,400,71643,0,63,73.64444848997137,0.5922990000044592,395.4348160000336,46.90948173582904
1776464290,500,,Aggregated,2374.600000,0.000000,63,94,110,120,150,170,180,200,300,380,400,74064,0,63,73.87928096393689,0.5922990000044592,395.4348160000336,46.917908835601644
1776464291,500,,Aggregated,2367.900000,0.000000,63,94,110,120,150,170,180,200,300,380,400,76471,0,63,73.84988648766237,0.5922990000044592,395.4348160000336,46.92879653724941
1776464292,500,,Aggregated,2368.100000,0.000000,64,95,110,120,150,170,180,200,300,380,400,79003,0,64,74.13616371117602,0.5922990000044592,395.4348160000336,46.939432679771656
1776464293,500,,Aggregated,2356.200000,0.000000,64,95,110,120,150,170,180,200,300,380,400,81400,0,64,74.3651904875561,0.5922990000044592,395.4348160000336,46.92690417690417
1776464294,500,,Aggregated,2410.200000,0.000000,65,95,110,120,150,170,180,200,300,380,400,83917,0,65,74.37423741928427,0.5922990000044592,395.4348160000336,46.9330886471156
1776464295,500,,Aggregated,2423.800000,0.000000,65,95,110,120,150,170,180,200,300,380,400,86275,0,65,74.52757670067905,0.5922990000044592,395.4348160000336,46.935960591133004
1776464296,500,,Aggregated,2433.800000,0.000000,65,95,110,120,150,170,180,200,300,380,400,88774,0,65,74.62986784967566,0.5922990000044592,395.4348160000336,46.92644242683669
1776464297,500,,Aggregated,2442.200000,0.000000,66,95,110,130,150,170,180,200,300,380,400,91059,0,66,74.84004549688756,0.5922990000044592,395.4348160000336,46.93899559626176
1776464298,500,,Aggregated,2440.100000,0.000000,66,95,110,130,150,170,180,190,300,380,400,93547,0,66,74.9815769580116,0.5922990000044592,395.4348160000336,46.946390584412114
1776464299,500,,Aggregated,2438.900000,0.000000,66,96,110,130,150,170,180,190,300,380,400,95971,0,66,75.12115902313306,0.5922990000044592,395.4348160000336,46.939617176021926
1776464300,500,,Aggregated,2427.700000,0.000000,66,96,110,130,150,170,180,190,300,380,400,98458,0,66,75.18889710865638,0.5922990000044592,395.4348160000336,46.94352922058137
1776464301,500,,Aggregated,2429.800000,0.000000,67,96,110,130,150,170,180,190,300,370,400,100959,0,67,75.30546887844662,0.5922990000044592,395.4348160000336,46.95389217405085
1776464302,500,,Aggregated,2430.400000,0.000000,67,96,110,130,150,170,180,190,300,370,400,103403,0,67,75.2971867968347,0.5922990000044592,395.4348160000336,46.94066903281336
1776464303,500,,Aggregated,2444.300000,0.000000,67,96,110,130,150,170,180,190,290,370,400,105826,0,67,75.5205026831696,0.5922990000044592,395.4348160000336,46.95256364220513
1776464304,500,,Aggregated,2439.200000,0.000000,67,96,110,130,150,170,180,190,290,370,400,108330,0,67,75.53072636945555,0.5922990000044592,395.4348160000336,46.951536970368316
1776464305,500,,Aggregated,2433.900000,0.000000,68,96,110,130,150,170,180,190,290,370,400,110775,0,68,75.66022834460054,0.5922990000044592,395.4348160000336,46.963665086887836
1776464306,500,,Aggregated,2428.200000,0.000000,68,97,110,130,150,170,180,190,290,370,400,113166,0,68,75.9085036795959,0.5922990000044592,395.4348160000336,46.959616846049165
1776464307,500,,Aggregated,2421.900000,0.000000,68,97,110,130,150,170,180,190,290,370,400,115654,0,68,75.82529514702624,0.5922990000044592,395.4348160000336,46.97207186954191
1776464308,500,,Aggregated,2430.200000,0.000000,68,97,110,130,150,170,180,190,290,370,400,118115,0,68,75.87774123812542,0.5922990000044592,395.4348160000336,46.97396605003598
1776464309,500,,Aggregated,2426.500000,0.000000,69,97,110,130,150,170,180,190,290,370,400,120637,0,69,75.91117426211792,0.5922990000044592,395.4348160000336,46.965889403748434
1776464310,500,,Aggregated,2434.800000,0.000000,69,97,110,130,150,170,180,190,290,370,400,123083,0,69,75.92931910107883,0.5922990000044592,395.4348160000336,46.97249823289975
1776464311,500,,Aggregated,2445.100000,0.000000,69,97,110,130,150,170,180,190,290,370,400,125550,0,69,75.92272064496265,0.5922990000044592,395.4348160000336,46.9721226602947
1776464312,500,,Aggregated,2439.700000,0.000000,69,97,110,130,150,170,180,190,290,370,400,127993,0,69,76.06215451602068,0.5922990000044592,395.4348160000336,46.98722586391443
1776464313,500,,Aggregated,2447.100000,0.000000,69,97,110,130,150,170,180,190,290,360,400,130423,0,69,76.11703782108984,0.5922990000044592,395.4348160000336,46.984780291819696
1776464314,500,,Aggregated,2444.500000,0.000000,69,97,110,130,150,170,180,190,290,360,400,132891,0,69,76.17856821452166,0.5922990000044592,395.4348160000336,46.99439390176912
1776464315,500,,Aggregated,2441.300000,0.000000,69,97,110,130,150,170,180,190,290,360,400,135349,0,69,76.22331684633805,0.5922990000044592,395.4348160000336,47.00033247382692
1776464316,500,,Aggregated,2448.800000,0.000000,69,97,110,130,150,170,180,190,290,360,400,137815,0,69,76.29145900395484,0.5922990000044592,395.4348160000336,46.997641766135764
1776464317,500,,Aggregated,2444.300000,0.000000,70,97,110,130,150,170,180,190,290,360,400,140133,0,70,76.30548595843273,0.5922990000044592,395.4348160000336,47.00510229567625
1776464318,500,,Aggregated,2442.600000,0.000000,70,97,110,130,150,170,180,190,290,360,400,142612,0,70,76.3568993522569,0.5922990000044592,395.4348160000336,47.010588169298515
1776464319,500,,Aggregated,2448.300000,0.000000,70,97,110,130,150,170,180,190,290,360,400,145055,0,70,76.44510145017422,0.5922990000044592,395.4348160000336,47.01016855675434
1776464320,500,,Aggregated,2455.700000,0.000000,70,97,110,130,150,170,180,190,290,360,400,147518,0,70,76.46866804051027,0.5922990000044592,395.4348160000336,47.00976152062799
1776464321,500,,Aggregated,2440.400000,0.000000,70,97,110,130,150,170,180,190,290,350,400,150009,0,70,76.49427321204035,0.5922990000044592,395.4348160000336,47.00663293535721
1776464322,500,,Aggregated,2439.300000,0.000000,70,97,110,130,150,170,180,190,290,350,400,152391,0,70,76.5778212144741,0.5922990000044592,395.4348160000336,47.00593867091889
1776464323,500,,Aggregated,2433.200000,0.000000,70,97,110,130,150,170,180,190,290,350,400,154764,0,70,76.61851282126918,0.5922990000044592,395.4348160000336,47.00626760745393
1776464324,500,,Aggregated,2427.300000,0.000000,70,98,110,130,150,170,180,190,290,350,400,157223,0,70,76.6383389184211,0.5922990000044592,395.4348160000336,47.00995401436177
1776464325,500,,Aggregated,2434.500000,0.000000,71,98,110,130,150,170,180,190,290,350,400,159640,0,71,76.64599938223422,0.5922990000044592,395.4348160000336,47.012214983713356
1776464326,500,,Aggregated,2438.800000,0.000000,71,98,120,130,150,170,180,190,290,350,400,162063,0,71,76.80067041075918,0.5922990000044592,395.4348160000336,47.01582717831954
1776464327,500,,Aggregated,2440.600000,0.000000,71,98,120,130,150,170,180,190,290,350,400,164491,0,71,76.84157920599836,0.5922990000044592,395.4348160000336,47.02860338863525
1776464328,500,,Aggregated,2439.300000,0.000000,71,98,120,130,150,170,180,190,290,350,400,166910,0,71,76.8525050678863,0.5922990000044592,395.4348160000336,47.03235276496316
