Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776563219,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776563220,2,,Aggregated,0.000000,0.000000,15,15,18,22,35,35,35,35,35,35,35,10,0,15,15.919122800005425,7.623102000252402,34.587008000016795,305109.2
1776563221,4,,Aggregated,0.000000,0.000000,15,18,22,22,28,35,35,35,35,35,35,20,0,15,16.23721180008033,6.303693000518251,34.587008000016795,305110.75
1776563222,6,,Aggregated,4.000000,0.000000,15,21,23,25,29,38,2000,2000,2000,2000,2000,47,0,15,59.96617214899975,5.966181000076176,2009.0609600001699,281320.21276595746
1776563223,8,,Aggregated,6.500000,0.000000,15,17,22,24,27,64,2000,2000,2000,2000,2000,92,0,15,81.7751673804868,5.966181000076176,2019.618846999947,276383.47826086957
1776563224,10,,Aggregated,9.000000,0.000000,15,16,21,23,28,75,2000,2000,2000,2000,2000,126,0,15,81.36016234923787,5.966181000076176,2019.618846999947,266384.27777777775
1776563225,12,,Aggregated,14.000000,0.000000,15,16,22,24,27,75,2000,2000,2000,2000,2000,146,0,15,86.2236001781041,5.966181000076176,2039.4743309998375,257763.08219178082
1776563226,14,,Aggregated,20.200000,0.000000,15,16,21,23,28,2000,2000,2000,2000,2000,2000,192,0,15,131.2346557708679,5.8224849999533035,2039.4743309998375,238401.109375
1776563227,16,,Aggregated,22.333333,0.000000,15,16,21,23,28,2000,2000,2000,2000,2000,2000,246,0,15,130.16811698375895,4.208424000353261,2039.4743309998375,243955.67479674798
1776563228,18,,Aggregated,22.428571,0.000000,15,16,21,23,35,2000,2000,2000,2000,2000,2000,289,0,15,140.75110730797283,4.208424000353261,2039.4743309998375,239337.9411764706
1776563229,20,,Aggregated,25.875000,0.000000,15,16,21,24,56,2000,2000,2000,2100,2100,2100,348,0,15,166.44730948277535,4.208424000353261,2066.2075729997014,216310.2471264368
1776563230,20,,Aggregated,28.333333,0.000000,15,20,23,26,280,2000,2000,2000,2100,2100,2100,397,0,15,177.42154372294186,3.80791599945951,2066.2075729997014,217796.43073047858
1776563231,20,,Aggregated,30.300000,0.000000,15,20,25,27,310,2000,2000,2000,2600,2600,2600,444,0,15,187.621301006781,3.80791599945951,2573.110788000122,215362.84684684683
1776563232,20,,Aggregated,35.100000,0.000000,15,20,24,26,310,2000,2000,2300,2600,2600,2600,490,0,15,190.4997286714447,3.7739659992439556,2593.180034999932,226281.1530612245
1776563233,20,,Aggregated,39.400000,0.000000,15,20,24,28,320,2000,2000,2200,2600,2600,2600,557,0,15,204.15268210055638,3.5223169998062076,2593.180034999932,220981.99640933573
1776563234,20,,Aggregated,42.300000,0.000000,15,21,26,40,390,2000,2000,2200,2600,2600,2600,605,0,15,209.46022443142783,3.5223169998062076,2593.180034999932,218582.71074380164
1776563235,20,,Aggregated,44.400000,0.000000,15,21,26,64,400,2000,2000,2300,2600,2600,2600,672,0,15,210.49368415627674,3.5223169998062076,2593.180034999932,214955.46279761905
1776563236,20,,Aggregated,46.400000,0.000000,15,21,26,56,380,2000,2000,2300,2600,2600,2600,719,0,15,198.6618610292304,3.5223169998062076,2593.180034999932,224950.23504867873
1776563237,20,,Aggregated,47.900000,0.000000,15,21,27,69,400,2000,2100,2300,2600,2600,2600,771,0,15,213.334516281476,3.5223169998062076,2593.180034999932,221656.76783398184
1776563238,20,,Aggregated,52.600000,0.000000,15,21,27,61,390,2000,2100,2200,2600,2600,2600,837,0,15,210.3045029725448,3.5223169998062076,2593.180034999932,223623.10035842293
1776563239,20,,Aggregated,51.800000,0.000000,15,21,27,69,380,2000,2100,2200,2600,2600,2600,897,0,15,210.70481578374287,3.5223169998062076,2593.180034999932,225674.90635451506
1776563240,20,,Aggregated,53.100000,0.000000,15,22,28,67,380,2000,2100,2200,2600,2600,2600,954,0,15,212.42422912580034,3.5223169998062076,2593.180034999932,221789.85639412998
1776563241,20,,Aggregated,54.100000,0.000000,15,22,29,75,380,2000,2100,2200,2600,2600,2600,988,0,15,213.15078792612857,3.5223169998062076,2593.180034999932,221364.86842105264
1776563242,20,,Aggregated,55.100000,0.000000,15,22,29,75,430,2000,2100,2200,2600,2600,2600,1040,0,15,221.3508927298246,3.5223169998062076,2593.180034999932,219102.0125
1776563243,20,,Aggregated,55.300000,0.000000,15,21,27,62,400,2000,2100,2200,2600,2600,2600,1101,0,15,219.233116095383,3.5223169998062076,2593.180034999932,221744.42325158947
1776563244,20,,Aggregated,54.900000,0.000000,15,21,27,61,410,2000,2100,2200,2600,2600,2600,1152,0,15,220.8980486007105,3.470999999990454,2593.180034999932,222524.14322916666
1776563245,20,,Aggregated,54.900000,0.000000,15,21,26,59,430,2000,2100,2200,2600,2600,2600,1205,0,15,222.22615068466354,3.470999999990454,2593.180034999932,222023.53941908714
1776563246,20,,Aggregated,54.400000,0.000000,15,21,26,56,460,2000,2100,2200,2600,2600,2600,1246,0,15,225.07228067978963,3.470999999990454,2593.180034999932,222066.0529695024
1776563247,20,,Aggregated,54.700000,0.000000,15,21,26,54,480,2000,2100,2200,2600,2600,2600,1300,0,15,227.05629170771,3.470999999990454,2593.180034999932,220668.01153846155
1776563248,20,,Aggregated,52.600000,0.000000,15,21,26,59,480,2000,2100,2200,2600,2600,2600,1350,0,15,227.73578826816816,3.470999999990454,2593.180034999932,220030.77925925926
1776563249,20,,Aggregated,53.000000,0.000000,15,21,26,54,450,2000,2100,2200,2600,2600,2600,1431,0,15,224.73453416074602,3.470999999990454,2593.180034999932,218239.70859538784
1776563250,20,,Aggregated,52.100000,0.000000,15,21,28,69,400,2000,2100,2200,2600,2600,2600,1504,0,15,222.15755852062802,3.470999999990454,2593.180034999932,219820.41755319148
1776563251,20,,Aggregated,51.500000,0.000000,15,22,28,66,380,2000,2100,2200,2600,2600,2600,1555,0,15,220.33097602316988,3.470999999990454,2593.180034999932,219806.7035369775
1776563252,20,,Aggregated,53.600000,0.000000,15,22,30,77,400,2000,2100,2200,2600,2600,2600,1597,0,15,223.79633059801395,3.470999999990454,2593.180034999932,221032.5090795241
1776563253,20,,Aggregated,54.600000,0.000000,15,22,36,94,430,2000,2100,2200,2600,2600,2600,1661,0,15,227.3493701577558,3.470999999990454,2593.180034999932,223538.96387718242
1776563254,20,,Aggregated,56.100000,0.000000,15,23,40,100,400,2000,2100,2200,2600,2800,2800,1711,0,15,226.69068556226438,3.470999999990454,2794.6331180000925,224734.5675043834
1776563255,20,,Aggregated,55.400000,0.000000,15,23,40,100,380,2000,2100,2200,2600,2800,2800,1762,0,15,224.127470347353,3.470999999990454,2794.6331180000925,224579.97616345063
1776563256,20,,Aggregated,56.000000,0.000000,15,22,37,100,390,2000,2100,2300,2600,2800,2800,1826,0,15,225.22897438227537,3.470999999990454,2794.6331180000925,223394.4200438116
1776563257,20,,Aggregated,55.500000,0.000000,15,23,38,100,400,2000,2100,2300,2600,2800,2800,1879,0,15,226.64840235073643,3.470999999990454,2794.6331180000925,220884.32889835018
1776563258,20,,Aggregated,56.100000,0.000000,15,23,40,100,400,2000,2100,2300,2600,2800,2800,1935,0,15,225.77129371112784,3.470999999990454,2794.6331180000925,223952.9607235142
1776563259,20,,Aggregated,57.400000,0.000000,15,23,40,100,400,2000,2200,2300,2600,2800,2800,1988,0,15,226.01585896027862,3.470999999990454,2794.6331180000925,222588.291750503
1776563260,20,,Aggregated,57.500000,0.000000,15,23,38,100,400,2000,2200,2300,2600,2800,2800,2032,0,15,226.34376167668898,3.470999999990454,2794.6331180000925,222274.30708661416
1776563261,20,,Aggregated,58.200000,0.000000,15,22,35,99,410,2000,2100,2300,2600,2800,2800,2097,0,15,227.45695013783103,3.470999999990454,2794.6331180000925,222661.17691940867
1776563262,20,,Aggregated,55.100000,0.000000,15,22,35,94,410,2000,2100,2300,2600,2800,2800,2141,0,15,227.82532563663597,3.470999999990454,2794.6331180000925,222361.7692666978
1776563263,20,,Aggregated,53.300000,0.000000,15,22,34,90,430,2000,2100,2300,2600,2800,2800,2189,0,15,228.61921177205946,3.3633149996603606,2794.6331180000925,222597.90360895387
1776563264,20,,Aggregated,54.000000,0.000000,15,22,34,88,450,2000,2100,2300,2600,2800,2800,2259,0,15,230.18348919745094,3.3633149996603606,2794.6331180000925,222905.49756529438
1776563265,20,,Aggregated,54.300000,0.000000,15,22,34,85,410,2000,2100,2300,2600,2800,2800,2320,0,15,226.7166994401054,3.3633149996603606,2794.6331180000925,220991.2448275862
1776563266,20,,Aggregated,52.600000,0.000000,15,22,35,82,400,2000,2100,2300,2600,2800,2800,2385,0,15,226.24443307632959,3.3633149996603606,2794.6331180000925,220513.4955974843
1776563267,20,,Aggregated,55.300000,0.000000,15,22,37,90,410,2000,2100,2300,2600,2800,2800,2431,0,15,228.46475904897147,3.3633149996603606,2794.6331180000925,218852.46318387496
1776563268,20,,Aggregated,55.600000,0.000000,15,22,37,89,400,2000,2100,2300,2600,2800,2800,2485,0,15,227.74657142215307,3.3633149996603606,2794.6331180000925,217781.34325955735
1776563269,20,,Aggregated,55.900000,0.000000,15,23,40,97,410,2000,2100,2300,2600,2800,2800,2521,0,15,228.71643297503016,3.3633149996603606,2794.6331180000925,217899.54819516066
1776563270,20,,Aggregated,55.400000,0.000000,15,22,39,97,450,2000,2200,2300,2600,2800,2800,2578,0,15,231.33661524982588,3.3633149996603606,2794.6331180000925,216239.54150504267
1776563271,20,,Aggregated,54.800000,0.000000,15,23,40,99,430,2000,2100,2300,2600,2800,2800,2618,0,15,230.13943240261722,3.3633149996603606,2794.6331180000925,214490.56913674562
1776563272,20,,Aggregated,53.500000,0.000000,15,23,42,100,460,2000,2200,2300,2600,2800,2800,2680,0,15,234.02539484516987,3.3633149996603606,2794.6331180000925,215222.33208955225
1776563273,20,,Aggregated,54.700000,0.000000,15,23,43,100,450,2000,2200,2300,2600,2800,2800,2730,0,15,232.65547730478215,3.040014999896812,2794.6331180000925,215379.1857142857
1776563274,20,,Aggregated,52.100000,0.000000,15,23,45,100,430,2000,2200,2300,2600,2800,2800,2784,0,15,232.01197689226143,3.040014999896812,2794.6331180000925,214490.4252873563
1776563275,20,,Aggregated,53.900000,0.000000,15,23,43,100,450,2000,2200,2300,2600,2800,2800,2840,0,15,232.9945996817107,3.040014999896812,2794.6331180000925,215991.6764084507
1776563276,20,,Aggregated,53.800000,0.000000,15,23,43,100,460,2000,2200,2300,2600,2800,2800,2879,0,15,234.25451949081392,3.040014999896812,2794.6331180000925,215186.5012156999
1776563277,20,,Aggregated,52.200000,0.000000,15,23,41,100,470,2000,2200,2300,2600,2800,2800,2938,0,15,234.8113096902832,3.040014999896812,2794.6331180000925,213636.04152484683
1776563278,20,,Aggregated,52.000000,0.000000,15,23,41,99,470,2000,2200,2300,2600,2800,2800,2989,0,15,234.54819234662193,3.040014999896812,2794.6331180000925,213054.17731682837
1776563279,20,,Aggregated,49.800000,0.000000,15,23,41,99,480,2000,2200,2300,2600,2800,2800,3029,0,15,235.194099664264,3.040014999896812,2794.6331180000925,212927.6180257511
1776563280,20,,Aggregated,50.500000,0.000000,15,23,43,100,490,2000,2200,2300,2600,2800,2800,3081,0,15,238.4896194573386,3.040014999896812,2794.6331180000925,212306.25219084712
1776563281,20,,Aggregated,50.400000,0.000000,15,23,43,99,490,2000,2200,2300,2600,2800,2800,3113,0,15,237.74148683715458,3.040014999896812,2794.6331180000925,211431.31641503374
1776563282,20,,Aggregated,50.300000,0.000000,15,23,44,100,560,2000,2200,2300,2600,2800,2800,3162,0,15,240.8904203115299,3.040014999896812,2794.6331180000925,210729.5082226439
1776563283,20,,Aggregated,49.800000,0.000000,16,23,45,100,560,2000,2200,2300,2600,2800,2800,3222,0,16,241.31387682403775,3.040014999896812,2794.6331180000925,211540.9624456859
1776563284,20,,Aggregated,49.400000,0.000000,15,23,44,100,510,2000,2200,2300,2600,2800,2800,3297,0,15,239.56568429391825,3.040014999896812,2794.6331180000925,211356.93448589626
1776563285,20,,Aggregated,48.500000,0.000000,16,23,45,100,490,2000,2200,2300,2600,2800,2800,3356,0,16,238.4372337732552,3.040014999896812,2794.6331180000925,211581.47318235994
1776563286,20,,Aggregated,49.500000,0.000000,16,23,47,100,490,2000,2200,2300,2600,2800,2800,3409,0,16,238.66440594721195,3.040014999896812,2794.6331180000925,212767.4848929305
1776563287,20,,Aggregated,51.400000,0.000000,16,23,50,110,470,2000,2200,2300,2600,2800,2800,3478,0,16,236.8766552944341,3.040014999896812,2794.6331180000925,213225.71937895342
1776563288,20,,Aggregated,51.500000,0.000000,16,24,52,110,490,2000,2200,2300,2700,2800,2800,3527,0,16,238.8294508315975,3.040014999896812,2794.6331180000925,213147.76212078254
1776563289,20,,Aggregated,52.800000,0.000000,16,24,54,110,480,2000,2200,2300,2700,2800,2800,3581,0,16,238.10839505055677,3.040014999896812,2794.6331180000925,212490.334264172
1776563290,20,,Aggregated,54.200000,0.000000,16,24,54,110,480,2000,2200,2300,2700,2800,2800,3631,0,16,238.1704642682581,3.040014999896812,2794.6331180000925,212926.10079867806
1776563291,20,,Aggregated,53.700000,0.000000,16,24,53,110,480,2000,2200,2300,2700,2800,2800,3663,0,16,237.99747139832087,3.040014999896812,2794.6331180000925,211899.610974611
1776563292,20,,Aggregated,55.300000,0.000000,16,24,53,110,490,2000,2200,2300,2700,2800,2800,3714,0,16,240.8622404353931,3.040014999896812,2794.6331180000925,211729.48546042002
1776563293,20,,Aggregated,54.900000,0.000000,16,24,52,110,490,2000,2200,2300,2700,2800,2800,3777,0,16,240.42527614245506,3.040014999896812,2794.6331180000925,210891.61503839027
1776563294,20,,Aggregated,54.900000,0.000000,16,24,53,110,490,2000,2200,2300,2700,2800,2800,3831,0,16,239.7799848885543,3.040014999896812,2794.6331180000925,210043.61106760637
1776563295,20,,Aggregated,55.100000,0.000000,16,24,54,120,490,2000,2200,2300,2700,2800,2800,3877,0,16,241.2077684403028,3.040014999896812,2794.6331180000925,209388.56254836213
1776563296,20,,Aggregated,55.200000,0.000000,16,24,56,120,490,2000,2200,2300,2700,2800,2800,3937,0,16,241.6617083556146,3.040014999896812,2794.6331180000925,210847.79400558802
1776563297,20,,Aggregated,53.000000,0.000000,16,24,54,120,480,2000,2200,2300,2700,2800,2800,3992,0,16,239.79492256764897,3.040014999896812,2794.6331180000925,209472.22219438877
1776563298,20,,Aggregated,51.900000,0.000000,16,24,54,120,490,2000,2200,2300,2700,2800,2800,4032,0,16,241.6883285205985,3.040014999896812,2794.6331180000925,208908.52951388888
1776563299,20,,Aggregated,52.600000,0.000000,16,24,54,110,500,2000,2200,2300,2700,2800,2800,4082,0,16,242.3417825230409,3.040014999896812,2794.6331180000925,207596.5107790299
1776563300,20,,Aggregated,51.100000,0.000000,16,24,54,120,510,2000,2200,2300,2700,2800,2800,4126,0,16,243.0166246631248,3.040014999896812,2794.6331180000925,206862.47867183713
1776563301,20,,Aggregated,50.400000,0.000000,16,24,53,110,530,2000,2200,2300,2700,2800,2800,4179,0,16,243.20414076431075,3.040014999896812,2794.6331180000925,207160.050490548
1776563302,20,,Aggregated,50.000000,0.000000,16,24,52,110,550,2000,2200,2300,2700,2800,2800,4234,0,16,244.0737752234424,3.040014999896812,2794.6331180000925,207112.22295701463
1776563303,20,,Aggregated,49.600000,0.000000,16,24,52,110,530,2000,2200,2300,2700,2800,2800,4288,0,16,242.92567187571362,3.040014999896812,2794.6331180000925,207113.54337686568
1776563304,20,,Aggregated,51.700000,0.000000,16,24,53,120,530,2000,2200,2300,2700,2800,2800,4331,0,16,243.6771214712676,3.040014999896812,2794.6331180000925,206466.93050103902
1776563305,20,,Aggregated,51.600000,0.000000,16,23,52,110,530,2000,2200,2300,2700,2800,2800,4392,0,16,243.45874436659028,3.040014999896812,2794.6331180000925,207304.90027322405
1776563306,20,,Aggregated,50.900000,0.000000,16,23,51,110,540,2000,2200,2300,2700,2800,2800,4468,0,16,243.4496294930769,3.040014999896812,2794.6331180000925,209014.66920322293
1776563307,20,,Aggregated,50.000000,0.000000,16,23,50,110,500,2000,2200,2300,2700,2800,2800,4516,0,16,241.49056310032492,3.040014999896812,2794.6331180000925,209720.90566873338
1776563308,20,,Aggregated,51.600000,0.000000,16,23,50,110,530,2000,2200,2300,2700,2800,2800,4554,0,16,242.66331631709855,3.040014999896812,2794.6331180000925,209534.9238032499
1776563309,20,,Aggregated,53.000000,0.000000,16,23,48,110,560,2000,2200,2300,2700,2800,2800,4623,0,16,244.01047368074146,3.040014999896812,2794.6331180000925,209928.4693921696
1776563310,20,,Aggregated,52.400000,0.000000,16,23,46,110,530,2000,2200,2300,2700,2800,2800,4685,0,16,241.86042911015275,3.040014999896812,2794.6331180000925,209321.703094984
1776563311,20,,Aggregated,52.000000,0.000000,16,23,45,110,540,2000,2200,2300,2700,2800,2800,4729,0,16,241.8410079433418,3.040014999896812,2794.6331180000925,209955.28399238738
1776563312,20,,Aggregated,54.200000,0.000000,16,23,45,100,560,2000,2200,2300,2700,2800,2800,4786,0,16,242.5736197258814,3.040014999896812,2794.6331180000925,208730.84621813623
1776563313,20,,Aggregated,55.800000,0.000000,16,23,45,110,550,2000,2200,2300,2700,2800,2800,4840,0,16,242.0619474184022,3.040014999896812,2794.6331180000925,208293.83078512398
1776563314,20,,Aggregated,54.800000,0.000000,16,23,46,110,560,2000,2200,2300,2700,2800,2800,4886,0,16,242.97701947954624,3.040014999896812,2794.6331180000925,207998.7069177241
1776563315,20,,Aggregated,54.900000,0.000000,16,23,46,110,560,2000,2200,2300,2700,2800,2800,4937,0,16,242.91562670692,3.040014999896812,2794.6331180000925,207910.63176017825
1776563316,20,,Aggregated,55.100000,0.000000,16,23,46,110,570,2000,2200,2300,2700,2800,2800,4981,0,16,243.86001666413705,3.040014999896812,2794.6331180000925,207095.8156996587
