Timestamp,RequestsPerSec,AvgLatency,ActiveBackends
2026-04-19T00:50:35Z,0.00,0.00,2
2026-04-19T00:50:40Z,0.10,1.00,2
2026-04-19T00:50:45Z,0.07,1.00,2
2026-04-19T00:50:50Z,0.05,1.00,2
2026-04-19T00:50:55Z,0.04,1.00,2
2026-04-19T00:51:00Z,0.03,1.00,2
2026-04-19T00:51:05Z,0.03,1.00,2
2026-04-19T00:51:10Z,0.02,1.00,2
2026-04-19T00:51:15Z,0.02,1.00,2
2026-04-19T00:51:20Z,0.02,1.00,2
2026-04-19T00:51:25Z,0.02,1.00,2
2026-04-19T00:51:30Z,0.02,1.00,2
2026-04-19T00:51:35Z,0.02,1.00,2
2026-04-19T00:51:40Z,0.01,1.00,2
2026-04-19T00:51:45Z,0.01,1.00,2
2026-04-19T00:51:50Z,0.01,1.00,2
2026-04-19T00:51:55Z,0.01,1.00,2
2026-04-19T00:52:00Z,0.01,1.00,2
2026-04-19T00:52:05Z,0.01,1.00,2
2026-04-19T00:52:10Z,0.01,1.00,2
2026-04-19T00:52:15Z,0.01,1.00,2
2026-04-19T00:52:20Z,0.01,1.00,2
2026-04-19T00:52:25Z,0.01,1.00,2
2026-04-19T00:52:30Z,0.01,1.00,2
2026-04-19T00:52:35Z,0.01,1.00,2
2026-04-19T00:52:40Z,0.01,1.00,2
2026-04-19T00:52:45Z,0.01,1.00,2
2026-04-19T00:52:50Z,0.01,1.00,2
2026-04-19T00:52:55Z,0.01,1.00,2
2026-04-19T00:53:00Z,0.01,1.00,2
2026-04-19T00:53:05Z,0.01,1.00,2
2026-04-19T00:53:10Z,0.01,1.00,2
2026-04-19T00:53:15Z,0.01,1.00,2
2026-04-19T00:53:20Z,0.01,1.00,2
2026-04-19T00:53:25Z,0.01,1.00,2
2026-04-19T00:53:30Z,0.01,1.00,2
2026-04-19T00:53:35Z,0.01,1.00,2
2026-04-19T00:53:40Z,0.01,1.00,2
2026-04-19T00:53:45Z,0.11,107.09,2
2026-04-19T00:53:50Z,0.63,184.45,2
2026-04-19T00:53:55Z,1.07,237.72,2
2026-04-19T00:54:00Z,1.62,247.58,2
2026-04-19T00:54:05Z,2.22,240.79,2
2026-04-19T00:54:10Z,2.70,242.95,2
2026-04-19T00:54:15Z,3.25,233.99,2
2026-04-19T00:54:20Z,3.72,232.28,2
2026-04-19T00:54:25Z,4.07,238.61,2
2026-04-19T00:54:30Z,4.49,243.77,2
2026-04-19T00:54:35Z,4.93,240.62,2
2026-04-19T00:54:40Z,5.34,237.41,2
2026-04-19T00:54:45Z,5.78,234.61,2
2026-04-19T00:54:50Z,6.08,239.98,2
2026-04-19T00:54:55Z,6.46,236.29,2
2026-04-19T00:55:00Z,6.78,235.57,2
2026-04-19T00:55:05Z,7.13,236.36,2
2026-04-19T00:55:10Z,7.44,234.66,2
2026-04-19T00:55:15Z,7.71,238.17,2
2026-04-19T00:55:20Z,8.05,235.21,2
2026-04-19T00:55:25Z,8.30,238.32,2
2026-04-19T00:55:30Z,8.56,237.36,2
2026-04-19T00:55:35Z,8.77,240.19,2
2026-04-19T00:55:40Z,9.16,234.96,2
2026-04-19T00:55:45Z,9.39,235.62,2
2026-04-19T00:55:50Z,9.77,230.80,2
2026-04-19T00:55:55Z,9.98,231.30,2
2026-04-19T00:56:00Z,10.17,233.40,2
2026-04-19T00:56:05Z,10.42,231.96,2
2026-04-19T00:56:10Z,10.59,233.95,2
2026-04-19T00:56:15Z,10.80,233.88,2
2026-04-19T00:56:20Z,10.94,234.82,2
2026-04-19T00:56:25Z,11.16,233.51,2
2026-04-19T00:56:30Z,11.33,235.41,2
2026-04-19T00:56:35Z,11.51,234.13,2
2026-04-19T00:56:40Z,11.67,235.25,2
2026-04-19T00:56:45Z,11.85,235.96,2
2026-04-19T00:56:50Z,11.97,237.02,2
2026-04-19T00:56:55Z,12.16,236.38,2
2026-04-19T00:57:00Z,12.33,237.19,2
2026-04-19T00:57:05Z,12.55,234.84,2
2026-04-19T00:57:10Z,12.63,236.46,2
2026-04-19T00:57:15Z,12.84,235.16,2
2026-04-19T00:57:20Z,13.06,233.25,2
2026-04-19T00:57:25Z,13.20,232.34,2
2026-04-19T00:57:30Z,13.36,232.26,2
2026-04-19T00:57:35Z,13.45,233.47,2
2026-04-19T00:57:40Z,13.61,233.19,2
2026-04-19T00:57:45Z,13.71,233.04,2
2026-04-19T00:57:50Z,13.77,234.76,2
2026-04-19T00:57:55Z,13.91,234.74,2
2026-04-19T00:58:00Z,14.06,234.50,2
2026-04-19T00:58:05Z,14.14,234.91,2
2026-04-19T00:58:10Z,14.21,235.94,2
2026-04-19T00:58:15Z,14.31,236.70,2
2026-04-19T00:58:20Z,14.34,237.65,2
2026-04-19T00:58:25Z,14.51,237.19,2
2026-04-19T00:58:30Z,14.65,235.99,2
2026-04-19T00:58:35Z,14.73,237.14,2
2026-04-19T00:58:40Z,14.86,236.14,2
2026-04-19T00:58:45Z,14.73,236.63,2
2026-04-19T00:58:50Z,14.58,236.63,2
